time	V_out	I_out
0.032900	-1524413392517309442309861767488524888529434053645165018161851653091753984.000000	-11128033473331984777534959065022781928539229462761083980588403323305984.000000
0.033000	158754667544643055308783832137569935979211060634118878955113433287098368.000000	-21258915628575547252483862847524013075491074183396348073196912187015168.000000
0.033100	4653843201641486535052283074429292763304190074883991833379750196323287040.000000	-34214999005717285913644857293843063226855335117345738723423127871684608.000000
0.033200	13721069328516550432831148762879049282564642906738667316380555811936534528.000000	-45903866714204191510720328214433310012043760399504698432876335738126336.000000
0.033300	29001487114190994718133164416635648139483850550399303497845587623555366912.000000	-46008222309505660281034495059026563251412897049311142819744286997741568.000000
0.033400	50670486392917626646022911025368644154643700583319838786014900153562955776.000000	-14343596431715486903072323724300749060148730765769506109916153303269376.000000
0.033500	74771438313240705883344856413945698287562070904192403455085943285706915840.000000	82255169117040784387958835479516949940817882878334316544103916867944448.000000
0.033600	88789710711040865136617385165789213313475425973446140309380790506315841536.000000	289438479634442954661792143521412557393677084603282532809944611847929856.000000
0.033700	65485740250132275381911832673876314626306594422561071831027173545704685568.000000	655316093387305442954559676843131372870097629813752060127112178020909056.000000
0.033800	-43752720768001321242079572823390344268738883673789292694910356287700074496.000000	1201317277275480931866163793164413551929234900991544408443037051107934208.000000
0.033900	-312257453853727231195409216924982592041758834046322207105449094607970238464.000000	1860989073972654494023386182289531252167233414018613849213673819921711104.000000
0.034000	-830070783370416821259876313053436624896979296526589286973843925914880049152.000000	2373570883010300076688943447380342897285621142957637816077922890231578624.000000
0.034100	-1670427543735237350169753084591083837438374895455149843935119134570512908288.000000	2127738552870037018692908783495323706479190533392042437949939553493057536.000000
0.034200	-2809717885472843222703646584105575863214289430869729649819544199490235793408.000000	-22482234367935380135936179040006304426254590475874672082017548576489472.000000
0.034300	-3975749872259878266698385583665919996435358964828979693807245741972372062208.000000	-5890112558916318971639752495202970262821112756649271730679748899186409472.000000
0.034400	-4405205535927264410035790103502441607730052659724796067105365800077934723072.000000	-17854245142113774486609143466197432055771929273212967650410347704107401216.000000
0.034500	-2521073437956592777267338378820873998361193116645077967386965292614370197504.000000	-38190659889116692738295477466330762371803769790254342307767105369449431040.000000
0.034600	4384866773127476341464511177687507286451597795178256399841988803417102876672.000000	-67312058648890914216971914471673494416170022940927302755610850011396440064.000000
0.034700	20235240147116211354793729184951230579161047434091875994976630152538548600832.000000	-100246956193765534967254836384380867754168456203367166558860526947229761536.000000
